step,type,loss,cumulative_time_ms,step_avg_ms
664,train,,464085,698.92
665,train,,464819,698.98
666,train,,465461,698.89
667,train,,466196,698.94
668,train,,466846,698.87
669,train,,467568,698.91
670,train,,468216,698.83
671,train,,468872,698.77
672,train,,469523,698.70
673,train,,470223,698.70
674,train,,470914,698.69
675,train,,471703,698.82
676,train,,472468,698.92
677,train,,473117,698.84
678,train,,473816,698.84
679,train,,474488,698.80
680,train,,475115,698.70
681,train,,475897,698.82
682,train,,476645,698.89
683,train,,477409,698.99
684,train,,478075,698.94
685,train,,478741,698.89
686,train,,479437,698.89
687,train,,480050,698.76
688,train,,480818,698.86
689,train,,481567,698.94
690,train,,482361,699.07
691,train,,483073,699.09
692,train,,483850,699.20
693,train,,484629,699.32
694,train,,485295,699.27
695,train,,486053,699.36
696,train,,486707,699.29
697,train,,487375,699.25
698,train,,488066,699.23
699,train,,488768,699.24
700,train,,489595,699.42
700,val,4.1704,489595,699.42
701,train,,490325,699.47
702,train,,491065,699.52
703,train,,491823,699.61
704,train,,492471,699.53
705,train,,493181,699.55
706,train,,493917,699.60
707,train,,494538,699.49
708,train,,495170,699.39
709,train,,495843,699.36
710,train,,496531,699.34
711,train,,497316,699.46
712,train,,498071,699.54
713,train,,498718,699.46
714,train,,499505,699.59
715,train,,500113,699.46
716,train,,500844,699.50
717,train,,501449,699.37
718,train,,502111,699.32
719,train,,502827,699.34
720,train,,503559,699.39
721,train,,504236,699.36
722,train,,504999,699.44
723,train,,505730,699.49
724,train,,506365,699.40
725,train,,507075,699.41
726,train,,507846,699.51
727,train,,508474,699.41
728,train,,509189,699.44
729,train,,509855,699.39
730,train,,510596,699.45
731,train,,511238,699.37
732,train,,511917,699.34
733,train,,512677,699.42
734,train,,513515,699.61
735,train,,514269,699.69
736,train,,514918,699.62
737,train,,515555,699.53
738,train,,516271,699.55
739,train,,516969,699.55
740,train,,517623,699.49
741,train,,518368,699.55
742,train,,519003,699.47
743,train,,519688,699.44
744,train,,520297,699.32
745,train,,521008,699.34
746,train,,521752,699.40
747,train,,522384,699.31
748,train,,523124,699.36
749,train,,523775,699.30
750,train,,524397,699.20
751,train,,525025,699.10
752,train,,525738,699.12
753,train,,526383,699.05
754,train,,527011,698.95
755,train,,527645,698.87
756,train,,528309,698.82
757,train,,528909,698.69
758,train,,529585,698.66
759,train,,530300,698.68
760,train,,530940,698.60
761,train,,531650,698.62
762,train,,532328,698.59
763,train,,532982,698.53
764,train,,533699,698.56
765,train,,534418,698.59
766,train,,535045,698.49
767,train,,535854,698.64
768,train,,536472,698.53
769,train,,537087,698.42
770,train,,537821,698.47
771,train,,538501,698.44
772,train,,539249,698.51
773,train,,539980,698.55
774,train,,540610,698.46
775,train,,541334,698.50
776,train,,542175,698.68
777,train,,542973,698.81
778,train,,543600,698.71
779,train,,544277,698.69
780,train,,544976,698.69
781,train,,545670,698.68
782,train,,546339,698.64
783,train,,547004,698.60
784,train,,547748,698.66
785,train,,548506,698.73
786,train,,549152,698.67
787,train,,549861,698.68
788,train,,550482,698.58
789,train,,551212,698.62
790,train,,552019,698.76
791,train,,552657,698.68
792,train,,553341,698.66
793,train,,554060,698.69
794,train,,554765,698.70
795,train,,555529,698.78
796,train,,556227,698.78
797,train,,556884,698.73
798,train,,557571,698.71
799,train,,558293,698.74
800,train,,558918,698.65
800,val,4.1360,558918,698.65
801,train,,559634,698.67
802,train,,560342,698.68
803,train,,561013,698.65
804,train,,561724,698.66
805,train,,562432,698.67
806,train,,563173,698.73
807,train,,563824,698.67
808,train,,564450,698.58
809,train,,565077,698.49
810,train,,565704,698.40
811,train,,566406,698.40
812,train,,567101,698.40
813,train,,567849,698.46
814,train,,568459,698.35
815,train,,569091,698.27
816,train,,569837,698.33
817,train,,570526,698.32
818,train,,571166,698.25
819,train,,571855,698.24
820,train,,572516,698.19
821,train,,573374,698.38
822,train,,574063,698.37
823,train,,574765,698.38
824,train,,575403,698.30
825,train,,576077,698.28
826,train,,576803,698.31
827,train,,577467,698.27
828,train,,578148,698.25
829,train,,578920,698.34
830,train,,579552,698.26
831,train,,580395,698.43
832,train,,581046,698.37
833,train,,581717,698.34
834,train,,582389,698.31
835,train,,583045,698.26
836,train,,583769,698.29
837,train,,584425,698.24
838,train,,585127,698.24
839,train,,585858,698.28
840,train,,586570,698.30
841,train,,587243,698.27
842,train,,587972,698.30
843,train,,588697,698.34
844,train,,589366,698.30
845,train,,590070,698.31
846,train,,590705,698.23
847,train,,591375,698.20
