step,type,loss,cumulative_time_ms,step_avg_ms
919,train,,1235311,1344.19
920,train,,1236695,1344.23
921,train,,1237856,1344.03
922,train,,1238927,1343.74
923,train,,1240412,1343.89
924,train,,1242164,1344.33
925,train,,1243298,1344.11
926,train,,1244384,1343.83
927,train,,1245406,1343.48
928,train,,1246924,1343.67
929,train,,1248545,1343.97
930,train,,1249593,1343.65
931,train,,1250973,1343.69
932,train,,1252165,1343.52
933,train,,1253214,1343.21
934,train,,1254326,1342.96
935,train,,1255444,1342.72
936,train,,1256802,1342.74
937,train,,1257974,1342.55
938,train,,1258996,1342.21
939,train,,1260047,1341.90
940,train,,1261480,1342.00
941,train,,1262548,1341.71
942,train,,1263853,1341.67
943,train,,1264913,1341.37
944,train,,1266089,1341.20
945,train,,1267171,1340.92
946,train,,1268714,1341.14
947,train,,1269784,1340.85
948,train,,1270880,1340.59
949,train,,1271970,1340.33
950,train,,1272955,1339.95
951,train,,1274090,1339.74
952,train,,1275392,1339.70
953,train,,1276446,1339.40
954,train,,1278061,1339.69
955,train,,1279184,1339.46
956,train,,1280593,1339.53
957,train,,1281977,1339.58
958,train,,1283191,1339.45
959,train,,1284216,1339.12
960,train,,1285243,1338.80
961,train,,1286461,1338.67
962,train,,1287693,1338.56
963,train,,1288947,1338.47
964,train,,1290077,1338.25
965,train,,1291162,1337.99
966,train,,1292374,1337.86
967,train,,1296245,1340.48
968,train,,1297706,1340.61
969,train,,1299075,1340.64
970,train,,1302590,1342.88
971,train,,1303788,1342.73
972,train,,1304955,1342.55
973,train,,1307482,1343.76
974,train,,1308721,1343.66
975,train,,1309984,1343.57
976,train,,1311105,1343.35
977,train,,1312287,1343.18
978,train,,1313762,1343.32
979,train,,1315727,1343.95
980,train,,1316806,1343.68
981,train,,1317859,1343.38
982,train,,1319104,1343.28
983,train,,1320184,1343.02
984,train,,1321442,1342.93
985,train,,1322614,1342.75
986,train,,1324219,1343.02
987,train,,1326332,1343.80
988,train,,1328091,1344.22
989,train,,1329229,1344.01
990,train,,1330217,1343.65
991,train,,1334167,1346.28
992,train,,1335455,1346.22
993,train,,1336823,1346.25
994,train,,1338179,1346.26
995,train,,1339757,1346.49
996,train,,1340894,1346.28
997,train,,1342643,1346.68
998,train,,1344232,1346.93
999,train,,1345527,1346.87
1000,train,,1346583,1346.58
1000,val,3.5948,1346584,1346.58
1001,train,,1347787,1346.44
1002,train,,1348839,1346.15
1003,train,,1349952,1345.91
1004,train,,1350970,1345.59
1005,train,,1352213,1345.49
1006,train,,1353486,1345.41
1007,train,,1354689,1345.27
1008,train,,1355866,1345.10
1009,train,,1357100,1344.99
1010,train,,1358126,1344.68
1011,train,,1359430,1344.64
1012,train,,1360784,1344.65
1013,train,,1361925,1344.45
1014,train,,1362994,1344.18
1015,train,,1364040,1343.88
1016,train,,1365526,1344.02
1017,train,,1366873,1344.02
1018,train,,1368315,1344.12
1019,train,,1369598,1344.06
1020,train,,1370797,1343.92
1021,train,,1371828,1343.61
1022,train,,1372937,1343.38
1023,train,,1374075,1343.18
1024,train,,1375522,1343.28
1025,train,,1376564,1342.99
1026,train,,1377558,1342.65
1027,train,,1378697,1342.45
1028,train,,1379960,1342.37
1029,train,,1381160,1342.24
1030,train,,1382270,1342.01
